,Unnamed: 0,paths,c,r,e,n,pattern,patter_idx
0,0,DATASET/A1/c1/r1/images/e0/c1r1e0n1.tif,1,1,0,1,llisa-fosca,0
1,1,DATASET/A1/c1/r1/images/e0/c1r1e0n2.tif,1,1,0,2,llisa-fosca,0
2,2,DATASET/A1/c1/r1/images/e0/c1r1e0n3.tif,1,1,0,3,llisa-fosca,0
3,3,DATASET/A1/c1/r1/images/e0/c1r1e0n4.tif,1,1,0,4,llisa-fosca,0
4,4,DATASET/A1/c1/r1/images/e0/c1r1e0n5.tif,1,1,0,5,llisa-fosca,0
5,5,DATASET/A1/c1/r1/images/e0/c1r1e0n6.tif,1,1,0,6,llisa-fosca,0
6,6,DATASET/A1/c1/r1/images/e0/c1r1e0n7.tif,1,1,0,7,llisa-fosca,0
7,7,DATASET/A1/c1/r1/images/e0/c1r1e0n8.tif,1,1,0,8,llisa-fosca,0
8,8,DATASET/A1/c1/r1/images/e0/c1r1e0n9.tif,1,1,0,9,llisa-fosca,0
9,9,DATASET/A1/c1/r1/images/e0/c1r1e0n10.tif,1,1,0,10,llisa-fosca,0
10,10,DATASET/A1/c1/r1/images/e0/c1r1e0n11.tif,1,1,0,11,llisa-fosca,0
11,11,DATASET/A1/c1/r1/images/e0/c1r1e0n12.tif,1,1,0,12,llisa-fosca,0
12,12,DATASET/A1/c1/r1/images/e0/c1r1e0n13.tif,1,1,0,13,llisa-fosca,0
13,13,DATASET/A1/c1/r1/images/e0/c1r1e0n14.tif,1,1,0,14,llisa-fosca,0
14,14,DATASET/A1/c1/r1/images/e0/c1r1e0n15.tif,1,1,0,15,llisa-fosca,0
15,15,DATASET/A1/c1/r1/images/e0/c1r1e0n16.tif,1,1,0,16,llisa-fosca,0
16,16,DATASET/A1/c1/r1/images/e0/c1r1e0n17.tif,1,1,0,17,llisa-fosca,0
17,17,DATASET/A1/c1/r1/images/e0/c1r1e0n18.tif,1,1,0,18,llisa-fosca,0
18,18,DATASET/A1/c1/r1/images/e0/c1r1e0n19.tif,1,1,0,19,llisa-fosca,0
19,19,DATASET/A1/c1/r1/images/e0/c1r1e0n20.tif,1,1,0,20,llisa-fosca,0
20,20,DATASET/A1/c1/r1/images/e0/c1r1e0n21.tif,1,1,0,21,llisa-fosca,0
21,21,DATASET/A1/c1/r1/images/e0/c1r1e0n22.tif,1,1,0,22,llisa-fosca,0
22,22,DATASET/A1/c1/r1/images/e0/c1r1e0n23.tif,1,1,0,23,llisa-fosca,0
23,23,DATASET/A1/c1/r1/images/e0/c1r1e0n24.tif,1,1,0,24,llisa-fosca,0
24,24,DATASET/A1/c1/r1/images/e0/c1r1e0n25.tif,1,1,0,25,llisa-fosca,0
25,25,DATASET/A1/c1/r1/images/e0/c1r1e0n26.tif,1,1,0,26,llisa-fosca,0
26,26,DATASET/A1/c1/r1/images/e0/c1r1e0n27.tif,1,1,0,27,llisa-fosca,0
27,27,DATASET/A1/c1/r1/images/e0/c1r1e0n28.tif,1,1,0,28,llisa-fosca,0
28,28,DATASET/A1/c1/r1/images/e0/c1r1e0n29.tif,1,1,0,29,llisa-fosca,0
29,29,DATASET/A1/c1/r1/images/e0/c1r1e0n30.tif,1,1,0,30,llisa-fosca,0
30,30,DATASET/A1/c1/r1/images/e0/c1r1e0n31.tif,1,1,0,31,llisa-fosca,0
31,31,DATASET/A1/c1/r1/images/e0/c1r1e0n32.tif,1,1,0,32,llisa-fosca,0
32,32,DATASET/A1/c1/r1/images/e0/c1r1e0n33.tif,1,1,0,33,llisa-fosca,0
33,33,DATASET/A1/c1/r1/images/e0/c1r1e0n34.tif,1,1,0,34,llisa-fosca,0
34,34,DATASET/A1/c1/r1/images/e0/c1r1e0n35.tif,1,1,0,35,llisa-fosca,0
35,35,DATASET/A1/c1/r1/images/e0/c1r1e0n36.tif,1,1,0,36,llisa-fosca,0
36,36,DATASET/A1/c1/r1/images/e0/c1r1e0n37.tif,1,1,0,37,llisa-fosca,0
37,37,DATASET/A1/c1/r1/images/e0/c1r1e0n38.tif,1,1,0,38,llisa-fosca,0
38,38,DATASET/A1/c1/r1/images/e0/c1r1e0n39.tif,1,1,0,39,llisa-fosca,0
39,39,DATASET/A1/c1/r1/images/e0/c1r1e0n40.tif,1,1,0,40,llisa-fosca,0
40,40,DATASET/A1/c1/r1/images/e0/c1r1e0n41.tif,1,1,0,41,llisa-fosca,0
41,41,DATASET/A1/c1/r1/images/e0/c1r1e0n42.tif,1,1,0,42,llisa-fosca,0
42,42,DATASET/A1/c1/r1/images/e0/c1r1e0n43.tif,1,1,0,43,llisa-fosca,0
43,43,DATASET/A1/c1/r1/images/e0/c1r1e0n44.tif,1,1,0,44,llisa-fosca,0
44,44,DATASET/A1/c1/r1/images/e0/c1r1e0n45.tif,1,1,0,45,llisa-fosca,0
45,45,DATASET/A1/c1/r1/images/e0/c1r1e0n46.tif,1,1,0,46,llisa-fosca,0
46,46,DATASET/A1/c1/r1/images/e0/c1r1e0n47.tif,1,1,0,47,llisa-fosca,0
47,47,DATASET/A1/c1/r1/images/e0/c1r1e0n48.tif,1,1,0,48,llisa-fosca,0
48,48,DATASET/A1/c1/r1/images/e0/c1r1e0n49.tif,1,1,0,49,llisa-fosca,0
49,49,DATASET/A1/c1/r1/images/e0/c1r1e0n50.tif,1,1,0,50,llisa-fosca,0
50,50,DATASET/A1/c1/r1/images/e1/c1r1e1n1.tif,1,1,1,1,llisa-fosca,0
51,51,DATASET/A1/c1/r1/images/e1/c1r1e1n2.tif,1,1,1,2,llisa-fosca,0
52,52,DATASET/A1/c1/r1/images/e1/c1r1e1n3.tif,1,1,1,3,llisa-fosca,0
53,53,DATASET/A1/c1/r1/images/e1/c1r1e1n4.tif,1,1,1,4,llisa-fosca,0
54,54,DATASET/A1/c1/r1/images/e1/c1r1e1n5.tif,1,1,1,5,llisa-fosca,0
55,55,DATASET/A1/c1/r1/images/e1/c1r1e1n6.tif,1,1,1,6,llisa-fosca,0
56,56,DATASET/A1/c1/r1/images/e1/c1r1e1n7.tif,1,1,1,7,llisa-fosca,0
57,57,DATASET/A1/c1/r1/images/e1/c1r1e1n8.tif,1,1,1,8,llisa-fosca,0
58,58,DATASET/A1/c1/r1/images/e1/c1r1e1n9.tif,1,1,1,9,llisa-fosca,0
59,59,DATASET/A1/c1/r1/images/e1/c1r1e1n10.tif,1,1,1,10,llisa-fosca,0
60,60,DATASET/A1/c1/r1/images/e1/c1r1e1n11.tif,1,1,1,11,llisa-fosca,0
61,61,DATASET/A1/c1/r1/images/e1/c1r1e1n12.tif,1,1,1,12,llisa-fosca,0
62,62,DATASET/A1/c1/r1/images/e1/c1r1e1n13.tif,1,1,1,13,llisa-fosca,0
63,63,DATASET/A1/c1/r1/images/e1/c1r1e1n14.tif,1,1,1,14,llisa-fosca,0
64,64,DATASET/A1/c1/r1/images/e1/c1r1e1n15.tif,1,1,1,15,llisa-fosca,0
65,65,DATASET/A1/c1/r1/images/e1/c1r1e1n16.tif,1,1,1,16,llisa-fosca,0
66,66,DATASET/A1/c1/r1/images/e1/c1r1e1n17.tif,1,1,1,17,llisa-fosca,0
67,67,DATASET/A1/c1/r1/images/e1/c1r1e1n18.tif,1,1,1,18,llisa-fosca,0
68,68,DATASET/A1/c1/r1/images/e1/c1r1e1n19.tif,1,1,1,19,llisa-fosca,0
69,69,DATASET/A1/c1/r1/images/e1/c1r1e1n20.tif,1,1,1,20,llisa-fosca,0
70,70,DATASET/A1/c1/r1/images/e1/c1r1e1n21.tif,1,1,1,21,llisa-fosca,0
71,71,DATASET/A1/c1/r1/images/e1/c1r1e1n22.tif,1,1,1,22,llisa-fosca,0
72,72,DATASET/A1/c1/r1/images/e1/c1r1e1n23.tif,1,1,1,23,llisa-fosca,0
73,73,DATASET/A1/c1/r1/images/e1/c1r1e1n24.tif,1,1,1,24,llisa-fosca,0
74,74,DATASET/A1/c1/r1/images/e1/c1r1e1n25.tif,1,1,1,25,llisa-fosca,0
75,75,DATASET/A1/c1/r1/images/e1/c1r1e1n26.tif,1,1,1,26,llisa-fosca,0
76,76,DATASET/A1/c1/r1/images/e1/c1r1e1n27.tif,1,1,1,27,llisa-fosca,0
77,77,DATASET/A1/c1/r1/images/e1/c1r1e1n28.tif,1,1,1,28,llisa-fosca,0
78,78,DATASET/A1/c1/r1/images/e1/c1r1e1n29.tif,1,1,1,29,llisa-fosca,0
79,79,DATASET/A1/c1/r1/images/e1/c1r1e1n30.tif,1,1,1,30,llisa-fosca,0
80,80,DATASET/A1/c1/r1/images/e1/c1r1e1n31.tif,1,1,1,31,llisa-fosca,0
81,81,DATASET/A1/c1/r1/images/e1/c1r1e1n32.tif,1,1,1,32,llisa-fosca,0
82,82,DATASET/A1/c1/r1/images/e1/c1r1e1n33.tif,1,1,1,33,llisa-fosca,0
83,83,DATASET/A1/c1/r1/images/e1/c1r1e1n34.tif,1,1,1,34,llisa-fosca,0
84,84,DATASET/A1/c1/r1/images/e1/c1r1e1n35.tif,1,1,1,35,llisa-fosca,0
85,85,DATASET/A1/c1/r1/images/e1/c1r1e1n36.tif,1,1,1,36,llisa-fosca,0
86,86,DATASET/A1/c1/r1/images/e1/c1r1e1n37.tif,1,1,1,37,llisa-fosca,0
87,87,DATASET/A1/c1/r1/images/e1/c1r1e1n38.tif,1,1,1,38,llisa-fosca,0
88,88,DATASET/A1/c1/r1/images/e1/c1r1e1n39.tif,1,1,1,39,llisa-fosca,0
89,89,DATASET/A1/c1/r1/images/e1/c1r1e1n40.tif,1,1,1,40,llisa-fosca,0
90,90,DATASET/A1/c1/r1/images/e1/c1r1e1n41.tif,1,1,1,41,llisa-fosca,0
91,91,DATASET/A1/c1/r1/images/e1/c1r1e1n42.tif,1,1,1,42,llisa-fosca,0
92,92,DATASET/A1/c1/r1/images/e1/c1r1e1n43.tif,1,1,1,43,llisa-fosca,0
93,93,DATASET/A1/c1/r1/images/e1/c1r1e1n44.tif,1,1,1,44,llisa-fosca,0
94,94,DATASET/A1/c1/r1/images/e1/c1r1e1n45.tif,1,1,1,45,llisa-fosca,0
95,95,DATASET/A1/c1/r1/images/e1/c1r1e1n46.tif,1,1,1,46,llisa-fosca,0
96,96,DATASET/A1/c1/r1/images/e1/c1r1e1n47.tif,1,1,1,47,llisa-fosca,0
97,97,DATASET/A1/c1/r1/images/e1/c1r1e1n48.tif,1,1,1,48,llisa-fosca,0
98,98,DATASET/A1/c1/r1/images/e1/c1r1e1n49.tif,1,1,1,49,llisa-fosca,0
99,99,DATASET/A1/c1/r1/images/e1/c1r1e1n50.tif,1,1,1,50,llisa-fosca,0
100,100,DATASET/A1/c1/r1/images/e2/c1r1e2n1.tif,1,1,2,1,llisa-fosca,0
101,101,DATASET/A1/c1/r1/images/e2/c1r1e2n2.tif,1,1,2,2,llisa-fosca,0
102,102,DATASET/A1/c1/r1/images/e2/c1r1e2n3.tif,1,1,2,3,llisa-fosca,0
103,103,DATASET/A1/c1/r1/images/e2/c1r1e2n4.tif,1,1,2,4,llisa-fosca,0
104,104,DATASET/A1/c1/r1/images/e2/c1r1e2n5.tif,1,1,2,5,llisa-fosca,0
105,105,DATASET/A1/c1/r1/images/e2/c1r1e2n6.tif,1,1,2,6,llisa-fosca,0
106,106,DATASET/A1/c1/r1/images/e2/c1r1e2n7.tif,1,1,2,7,llisa-fosca,0
107,107,DATASET/A1/c1/r1/images/e2/c1r1e2n8.tif,1,1,2,8,llisa-fosca,0
108,108,DATASET/A1/c1/r1/images/e2/c1r1e2n9.tif,1,1,2,9,llisa-fosca,0
109,109,DATASET/A1/c1/r1/images/e2/c1r1e2n10.tif,1,1,2,10,llisa-fosca,0
110,110,DATASET/A1/c1/r1/images/e2/c1r1e2n11.tif,1,1,2,11,llisa-fosca,0
111,111,DATASET/A1/c1/r1/images/e2/c1r1e2n12.tif,1,1,2,12,llisa-fosca,0
112,112,DATASET/A1/c1/r1/images/e2/c1r1e2n13.tif,1,1,2,13,llisa-fosca,0
