,Unnamed: 0,paths,c,r,e,n,text,error
0,0,DATASET/A1/c1/r1/images/e0/c1r1e0n1.tif,1,1,0,1,No error,1
1,1,DATASET/A1/c1/r1/images/e0/c1r1e0n2.tif,1,1,0,2,No error,1
2,2,DATASET/A1/c1/r1/images/e0/c1r1e0n3.tif,1,1,0,3,No error,1
3,3,DATASET/A1/c1/r1/images/e0/c1r1e0n4.tif,1,1,0,4,No error,1
4,4,DATASET/A1/c1/r1/images/e0/c1r1e0n5.tif,1,1,0,5,No error,1
5,5,DATASET/A1/c1/r1/images/e0/c1r1e0n6.tif,1,1,0,6,No error,1
6,6,DATASET/A1/c1/r1/images/e0/c1r1e0n7.tif,1,1,0,7,No error,1
7,7,DATASET/A1/c1/r1/images/e0/c1r1e0n8.tif,1,1,0,8,No error,1
8,8,DATASET/A1/c1/r1/images/e0/c1r1e0n9.tif,1,1,0,9,No error,1
9,9,DATASET/A1/c1/r1/images/e0/c1r1e0n10.tif,1,1,0,10,No error,1
10,10,DATASET/A1/c1/r1/images/e0/c1r1e0n11.tif,1,1,0,11,No error,1
11,11,DATASET/A1/c1/r1/images/e0/c1r1e0n12.tif,1,1,0,12,No error,1
12,12,DATASET/A1/c1/r1/images/e0/c1r1e0n13.tif,1,1,0,13,No error,1
13,13,DATASET/A1/c1/r1/images/e0/c1r1e0n14.tif,1,1,0,14,No error,1
14,14,DATASET/A1/c1/r1/images/e0/c1r1e0n15.tif,1,1,0,15,No error,1
15,15,DATASET/A1/c1/r1/images/e0/c1r1e0n16.tif,1,1,0,16,No error,1
16,16,DATASET/A1/c1/r1/images/e0/c1r1e0n17.tif,1,1,0,17,No error,1
17,17,DATASET/A1/c1/r1/images/e0/c1r1e0n18.tif,1,1,0,18,No error,1
18,18,DATASET/A1/c1/r1/images/e0/c1r1e0n19.tif,1,1,0,19,No error,1
19,19,DATASET/A1/c1/r1/images/e0/c1r1e0n20.tif,1,1,0,20,No error,1
20,20,DATASET/A1/c1/r1/images/e0/c1r1e0n21.tif,1,1,0,21,No error,1
21,21,DATASET/A1/c1/r1/images/e0/c1r1e0n22.tif,1,1,0,22,No error,1
22,22,DATASET/A1/c1/r1/images/e0/c1r1e0n23.tif,1,1,0,23,No error,1
23,23,DATASET/A1/c1/r1/images/e0/c1r1e0n24.tif,1,1,0,24,No error,1
24,24,DATASET/A1/c1/r1/images/e0/c1r1e0n25.tif,1,1,0,25,No error,1
25,25,DATASET/A1/c1/r1/images/e0/c1r1e0n26.tif,1,1,0,26,No error,1
26,26,DATASET/A1/c1/r1/images/e0/c1r1e0n27.tif,1,1,0,27,No error,1
27,27,DATASET/A1/c1/r1/images/e0/c1r1e0n28.tif,1,1,0,28,No error,1
28,28,DATASET/A1/c1/r1/images/e0/c1r1e0n29.tif,1,1,0,29,No error,1
29,29,DATASET/A1/c1/r1/images/e0/c1r1e0n30.tif,1,1,0,30,No error,1
30,30,DATASET/A1/c1/r1/images/e0/c1r1e0n31.tif,1,1,0,31,No error,1
31,31,DATASET/A1/c1/r1/images/e0/c1r1e0n32.tif,1,1,0,32,No error,1
32,32,DATASET/A1/c1/r1/images/e0/c1r1e0n33.tif,1,1,0,33,No error,1
33,33,DATASET/A1/c1/r1/images/e0/c1r1e0n34.tif,1,1,0,34,No error,1
34,34,DATASET/A1/c1/r1/images/e0/c1r1e0n35.tif,1,1,0,35,No error,1
35,35,DATASET/A1/c1/r1/images/e0/c1r1e0n36.tif,1,1,0,36,No error,1
36,36,DATASET/A1/c1/r1/images/e0/c1r1e0n37.tif,1,1,0,37,No error,1
37,37,DATASET/A1/c1/r1/images/e0/c1r1e0n38.tif,1,1,0,38,No error,1
38,38,DATASET/A1/c1/r1/images/e0/c1r1e0n39.tif,1,1,0,39,No error,1
39,39,DATASET/A1/c1/r1/images/e0/c1r1e0n40.tif,1,1,0,40,No error,1
40,40,DATASET/A1/c1/r1/images/e0/c1r1e0n41.tif,1,1,0,41,No error,1
41,41,DATASET/A1/c1/r1/images/e0/c1r1e0n42.tif,1,1,0,42,No error,1
42,42,DATASET/A1/c1/r1/images/e0/c1r1e0n43.tif,1,1,0,43,No error,1
