,image_path,Taca oli,Carrera,Agujero,Hilo fino horizontal2,Tensión horizontal,Barrado,Borrissol,Hilo fino horizontal,Punto escapado
0,4aaf06a9-frame0-00-08.95.jpg,0,0,0,1,0,0,0,0,0
1,19c8888a-frame0-00-15.68.jpg,0,0,0,0,0,0,0,0,0
3,5e93a55a-frame0-00-12.03.jpg,0,0,0,1,0,0,0,0,0
8,47b8fa6d-frame0-00-20.79.jpg,0,0,0,0,0,0,0,0,0
10,6787b1aa-frame0-00-13.24.jpg,0,0,0,1,0,0,0,0,0
11,366504f7-frame0-00-23.85.jpg,0,0,0,1,0,0,0,0,0
12,6bdd375a-frame0-00-00.31.jpg,0,0,0,0,0,0,0,0,0
14,054cbacb-frame0-00-15.17.jpg,0,0,0,0,0,0,0,0,0
17,84450652-frame0-00-15.89.jpg,0,0,0,1,0,0,0,0,0
18,0f948fe6-frame0-00-18.37.jpg,0,0,0,0,0,0,0,1,0
20,738361b5-frame0-00-17.33.jpg,0,0,0,0,0,0,0,0,0
21,70d0ff15-frame0-00-17.15.jpg,0,0,0,1,0,0,0,0,0
22,08cd1caa-frame0-00-05.50.jpg,0,0,0,1,0,0,0,0,0
27,3ffbcddf-frame0-00-15.31.jpg,0,0,0,0,0,0,0,1,0
28,72f3c27d-frame0-00-11.26.jpg,0,0,0,0,0,0,0,1,0
29,5a18ccde-frame0-00-00.69.jpg,0,0,0,0,0,0,0,0,0
30,7ded4db7-frame0-00-21.34.jpg,0,0,0,0,0,0,0,0,0
31,3c140912-frame0-00-19.00.jpg,0,0,0,0,0,0,0,0,0
33,5aafc340-frame0-00-16.28.jpg,0,0,0,0,0,0,0,0,0
34,0c4275d6-frame0-00-27.10.jpg,0,0,0,1,0,0,0,0,0
35,0d1feaae-frame0-00-02.31.jpg,0,0,0,0,0,0,0,1,0
37,77e61463-frame0-00-25.36.jpg,0,0,0,0,0,0,0,0,0
39,07c9e550-frame0-00-02.60.jpg,0,0,0,0,0,0,0,1,0
40,4c4e71b2-frame0-00-39.64.jpg,0,0,0,0,0,0,0,0,0
41,843f98f2-frame0-00-43.54.jpg,0,0,0,0,0,0,0,0,0
45,6e495ee9-frame0-00-19.40.jpg,0,0,0,0,0,0,0,0,0
46,62600c52-frame0-00-16.03.jpg,0,0,0,0,0,0,0,0,0
47,7c1eb187-frame0-00-14.48.jpg,0,0,0,0,0,0,0,1,0
49,7564859b-frame0-00-15.32.jpg,0,0,0,0,0,0,0,1,0
50,42814638-frame0-00-38.40.jpg,0,0,0,0,0,0,0,0,0
51,2e6d419e-frame0-00-12.77.jpg,0,0,0,0,0,0,0,1,0
52,74fa2306-frame0-00-05.85.jpg,0,0,0,0,0,0,0,0,0
53,76f3d9df-frame0-00-02.16.jpg,0,0,0,0,0,0,0,1,0
54,2e395d7a-frame0-00-32.78.jpg,0,0,0,0,0,0,0,0,0
58,60358f63-frame0-00-02.28.jpg,0,0,0,0,0,0,0,0,0
59,750ea36d-frame0-00-27.77.jpg,0,0,0,0,0,0,0,0,0
60,2c648120-frame0-00-15.11.jpg,0,0,0,0,0,0,0,0,0
62,52d70ec9-frame0-00-23.77.jpg,0,0,0,0,0,0,0,0,0
63,00034d0e-frame0-00-22.63.jpg,0,0,0,0,0,0,0,0,0
64,598c64ac-frame0-00-05.53.jpg,0,0,0,0,0,0,0,1,0
65,71a1d9b7-frame0-00-19.14.jpg,0,0,0,0,0,0,0,1,0
70,1f9aefe3-frame0-00-21.65.jpg,0,0,0,0,0,0,0,1,1
71,07e05dbe-frame0-00-39.91.jpg,0,0,0,0,0,0,1,0,0
73,01caf962-frame0-00-21.74.jpg,0,0,0,1,0,0,0,0,0
77,737a59de-frame0-00-04.92.jpg,0,0,0,0,0,0,0,1,0
80,2dce79c4-frame0-00-20.10.jpg,0,0,0,0,0,0,1,0,0
81,183182b7-frame0-00-21.34.jpg,0,0,0,0,0,0,0,0,0
82,78192ef1-frame0-00-14.32.jpg,0,0,0,0,0,0,0,1,0
84,41ca6756-frame0-00-10.38.jpg,0,0,0,0,0,0,0,1,0
87,800f6f90-frame0-00-04.13.jpg,0,0,0,1,0,0,0,0,0
88,49d39f3c-frame0-00-37.62.jpg,0,0,0,0,0,0,0,0,0
91,5a90c32f-frame0-00-17.95.jpg,0,0,0,0,0,0,0,0,0
92,2b69a4be-frame0-00-04.10.jpg,0,0,0,1,0,0,0,0,0
93,48eeb956-frame0-00-12.04.jpg,0,0,0,0,0,0,0,1,0
94,34b8d05b-frame0-00-23.71.jpg,0,0,0,1,0,0,0,0,0
95,2e6b1484-frame0-00-20.43.jpg,0,1,0,0,0,0,0,0,0
96,881b877c-frame0-00-16.01.jpg,0,0,0,0,0,0,0,1,0
99,86f83dcf-frame0-00-07.97.jpg,0,0,0,0,0,0,0,0,0
101,6ec8fffa-frame0-00-11.69.jpg,0,0,0,0,0,0,0,0,0
102,48fd7920-frame0-00-12.83.jpg,0,0,0,0,0,0,0,0,0
103,3626845f-frame0-00-19.22.jpg,0,0,0,0,0,0,0,0,0
106,5e23f58a-frame0-00-17.35.jpg,0,0,0,0,0,0,0,1,0
107,59494ab8-frame0-00-34.03.jpg,0,0,0,0,0,0,0,0,0
108,19f8bd9e-frame0-00-35.82.jpg,1,0,0,0,0,0,0,0,0
110,0985b3f2-frame0-00-02.23.jpg,0,0,0,0,0,0,0,1,0
111,7a78dbbe-frame0-00-16.28.jpg,0,0,0,0,0,0,0,1,0
114,6c04c18f-frame0-00-06.71.jpg,0,0,0,0,0,0,0,1,0
116,74438bf8-frame0-00-41.83.jpg,0,0,0,0,0,0,0,0,0
117,187d9003-frame0-00-12.51.jpg,0,0,0,0,0,0,0,1,0
118,4342c540-frame0-00-33.49.jpg,0,0,0,0,0,0,0,0,0
119,628b453a-frame0-00-19.88.jpg,0,0,0,0,0,0,0,1,0
122,0aef2fa7-frame0-00-09.14.jpg,0,0,0,0,0,0,0,0,0
123,1ebd9502-frame0-00-08.08.jpg,0,0,0,0,0,0,0,1,0
125,0a93fc6d-frame0-00-12.43.jpg,0,0,0,1,0,0,0,0,0
127,4a3972c7-frame0-00-12.62.jpg,0,0,0,0,0,0,0,0,0
129,3d538e4e-frame0-00-09.74.jpg,0,0,0,0,0,0,0,1,0
